pais,Code,ano,giga
Brazil,BRA,2000,0.022
Brazil,BRA,2001,0.022
Brazil,BRA,2002,0.022
Brazil,BRA,2003,0.029
Brazil,BRA,2004,0.029
Brazil,BRA,2005,0.029
Brazil,BRA,2006,0.23700000000000002
Brazil,BRA,2007,0.247
Brazil,BRA,2008,0.341
Brazil,BRA,2009,0.606
Brazil,BRA,2010,0.931
Brazil,BRA,2011,1.4305
Brazil,BRA,2012,2.508
Brazil,BRA,2013,3.466
Brazil,BRA,2014,5.962
Brazil,BRA,2015,8.726
Germany,DEU,2000,6.097
Germany,DEU,2001,8.738
Germany,DEU,2002,11.976
Germany,DEU,2003,14.381
Germany,DEU,2004,16.419
Germany,DEU,2005,18.248
Germany,DEU,2006,20.474
Germany,DEU,2007,22.116
Germany,DEU,2008,22.794
Germany,DEU,2009,25.732
Germany,DEU,2010,26.903000000000002
Germany,DEU,2011,28.712
Germany,DEU,2012,30.979
Germany,DEU,2013,33.477000000000004
Germany,DEU,2014,38.614000000000004
Germany,DEU,2015,44.541000000000004
Italy,ITA,2000,0.424
Italy,ITA,2001,0.7000000000000001
Italy,ITA,2002,0.806
Italy,ITA,2003,0.922
Italy,ITA,2004,1.2610000000000001
Italy,ITA,2005,1.713
Italy,ITA,2006,2.118
Italy,ITA,2007,2.721
Italy,ITA,2008,3.731
Italy,ITA,2009,4.845
Italy,ITA,2010,5.814
Italy,ITA,2011,6.936
Italy,ITA,2012,8.102
Italy,ITA,2013,8.542
Italy,ITA,2014,8.683
Italy,ITA,2015,9.137
United States,USA,2000,2.61
United States,USA,2001,4.245
United States,USA,2002,4.674
United States,USA,2003,6.361
United States,USA,2004,6.75
United States,USA,2005,9.181000000000001
United States,USA,2006,11.635
United States,USA,2007,16.879
United States,USA,2008,25.237000000000002
United States,USA,2009,35.159
United States,USA,2010,40.274
United States,USA,2011,47.084
United States,USA,2012,60.208
United States,USA,2013,61.292
United States,USA,2014,66.146
United States,USA,2015,74.26
