"fam","sp","environment","DF","SVL","logDF","logSVL"
"Pyxicephalidae","Cacosternum_boettgeri","still",4500,19,8.4118326758,2.9444389792
"Pyxicephalidae","Cacosternum_capense","still",2300,31.5,7.7406644019,3.4499875458
"Pyxicephalidae","Cacosternum_nanum","still",3600,15,8.1886891244,2.7080502011
"Pyxicephalidae","Microbatrachella_capensis","still",4900,15,8.4969904841,2.7080502011
"Pyxicephalidae","Poyntonia_paludicola","flowing",2200,30,7.6962126393,3.4011973817
"Pyxicephalidae","Pyxicephalus_adspersus","still",225,245,5.4161004022,5.5012582105
"Pyxicephalidae","Pyxicephalus_edulis","still",525,120,6.2633982626,4.7874917428
"Pyxicephalidae","Strongylopus_grayii","still",2300,35,7.7406644019,3.5553480615
"Pyxicephalidae","Tomopterna_cryptotis","still",3450,45,8.14612951,3.8066624898
"Pyxicephalidae","Tomopterna_delalandii","still",2500,44.8,7.8240460109,3.8022081394
"Pyxicephalidae","Tomopterna_krugerensis","still",2500,44.8,7.8240460109,3.8022081394
"Pyxicephalidae","Tomopterna_tuberculosa","still",2600,40,7.863266724,3.6888794541
